"Χρονική σήμανση","Πότε θέλετε να συναντηθούμε;"
"2017/04/20 2:54:53 μ.μ. GMT+3","Κυριακή 6 Μαΐου 18:00 απόγευμα"
"2017/04/20 3:31:08 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 3:31:12 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/20 3:37:38 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/20 4:56:23 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 5:03:06 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/20 5:29:07 μ.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/20 6:12:27 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/20 7:24:06 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:31:00 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:33:54 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:34:02 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:34:07 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:34:12 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:34:50 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:35:47 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:37:53 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:37:57 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:38:03 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 12:14:33 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 12:27:39 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 2:33:26 π.μ. GMT+3","Κυριακή 21 Μαΐου 18:00 απόγευμα"
"2017/04/21 7:08:47 π.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/21 2:23:16 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 7:57:39 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 10:01:38 μ.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/21 10:08:37 μ.μ. GMT+3","Κυριακή 21 Μαΐου 18:00 απόγευμα"
"2017/04/22 12:11:19 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 12:51:32 π.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/22 12:51:38 π.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/22 12:51:45 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:51:14 π.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/22 9:51:28 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:51:46 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:51:59 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:52:19 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:52:45 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
